game,top_b_champ,jgl_b_champ,mid_b_champ,mid_b_dmgtaken,adc_b_champ,supp_b_champ,supp_b_vs,b_win,top_r_champ,jgl_r_champ,mid_r_champ,mid_r_dmgtaken,adc_r_champ,supp_r_champ,supp_r_vs,r_win
EUW1_6344854064,Gragas,LeeSin,Syndra,19996.0,Jinx,Yuumi,46.0,False,Yone,Kayn,Anivia,35670.0,Xayah,Karma,67.0,True
EUW1_6344786253,Kennen,Viego,Veigar,19011.0,Zeri,Blitzcrank,61.0,False,Rengar,MonkeyKing,Ekko,22922.0,Xayah,Thresh,62.0,True
EUW1_6343866592,Annie,LeeSin,Ahri,17633.0,Samira,Nautilus,51.0,True,Irelia,Nidalee,Zeri,21610.0,Kaisa,Pyke,65.0,False
EUW1_6343778606,Jax,JarvanIV,Syndra,13238.0,Jinx,Bard,111.0,False,Olaf,MonkeyKing,Veigar,23161.0,Caitlyn,Milio,70.0,True
EUW1_6346061014,Gnar,Gragas,Ahri,24262.0,Xayah,Sona,97.0,False,Jayce,Vi,Orianna,17592.0,Aphelios,Zoe,72.0,True
EUW1_6346013555,Yone,Mordekaiser,Akali,18189.0,Jinx,Thresh,58.0,True,Camille,Viego,Gragas,29461.0,Xayah,Blitzcrank,21.0,False
EUW1_6341937137,Fiora,LeeSin,Veigar,8591.0,Sivir,Velkoz,40.0,False,Singed,Gragas,Irelia,13376.0,Varus,Nautilus,61.0,True
EUW1_6341841973,Singed,JarvanIV,Kassadin,18511.0,Zeri,Milio,35.0,False,Garen,Nunu,Gragas,24584.0,Twitch,Senna,52.0,True
EUW1_6341787642,Fiora,JarvanIV,Cassiopeia,11780.0,Jinx,Milio,58.0,False,Jax,Vi,Ahri,5665.0,Zeri,Annie,64.0,True
EUW1_6345471157,Chogath,Lux,Caitlyn,30421.0,Renekton,Akali,0.0,True,Ezreal,Annie,Kennen,29458.0,Nidalee,Vex,0.0,False
EUW1_6345427647,Cassiopeia,Mordekaiser,Nocturne,39750.0,Jinx,Ornn,0.0,True,Draven,Kayn,Jhin,40366.0,Pantheon,Corki,0.0,False
EUW1_6345370173,Samira,Sion,Veigar,36728.0,Rell,Zeri,0.0,False,MasterYi,Ezreal,Soraka,38762.0,Ahri,Ivern,0.0,True
EUW1_6344181080,KSante,Gwen,Syndra,25846.0,Zeri,Lulu,72.0,False,Nasus,Vi,Quinn,33071.0,Kaisa,Sona,93.0,True
EUW1_6342632997,Tryndamere,Qiyana,Lux,19279.0,MissFortune,Rakan,107.0,True,Mordekaiser,Nidalee,Pantheon,40160.0,Caitlyn,Milio,91.0,False
EUW1_6344841092,KSante,LeeSin,AurelionSol,16279.0,Zeri,Bard,121.0,True,Olaf,Evelynn,Yasuo,17647.0,Twitch,Rakan,79.0,False
EUW1_6344804843,Sylas,LeeSin,Tristana,5181.0,Zeri,Morgana,4.0,False,Renekton,Zyra,Zoe,4808.0,Ezreal,Malphite,4.0,True
EUW1_6339567992,Aatrox,Lillia,Kassadin,55932.0,Jinx,Yuumi,41.0,True,Yasuo,Khazix,Tristana,37437.0,Kaisa,Heimerdinger,51.0,False
EUW1_6339394370,Renekton,Zed,Sylas,42933.0,Sivir,Annie,80.0,True,Jayce,MonkeyKing,Lissandra,28743.0,Jinx,Thresh,86.0,False
EUW1_6339310955,Irelia,Kayn,Ahri,31617.0,Renata,Veigar,42.0,False,Renekton,Vi,Syndra,24817.0,Karthus,Nami,76.0,True
EUW1_6346087866,Sion,Kayn,Sylas,35696.0,Ashe,Rakan,82.0,True,Sett,Gragas,Pyke,29733.0,Kaisa,Nautilus,65.0,False
EUW1_6346045261,KSante,XinZhao,Syndra,14220.0,Xayah,Taric,82.0,False,Malphite,JarvanIV,AurelionSol,13229.0,Vayne,Nami,54.0,True
EUW1_6346022301,Jax,Vi,Jayce,9634.0,Taliyah,Leona,27.0,True,Urgot,Kayn,Sylas,13132.0,Xayah,Rakan,19.0,False
EUW1_6345985178,Pantheon,Olaf,Rumble,17073.0,Jinx,Janna,33.0,False,Kled,Nunu,Mordekaiser,19173.0,Xayah,Nautilus,48.0,True
EUW1_6345950921,Gnar,Kayn,Mordekaiser,32409.0,Jinx,Lulu,88.0,True,Katarina,Viego,Ahri,22885.0,Xayah,Rell,75.0,False
EUW1_6346438961,Yone,Irelia,Xayah,10116.0,Lillia,Blitzcrank,29.0,True,Illaoi,Hecarim,Fizz,11681.0,Veigar,Zilean,42.0,False
EUW1_6346386861,Kennen,RekSai,Galio,16195.0,Xayah,Rakan,21.0,False,Yasuo,Diana,Yone,17742.0,Zeri,Milio,40.0,True
